113.12	263.34	88.13
114.59	263.29	88.68
116.06	263.27	88.85
111.62	261.62	91.21
113.1	261.67	90.59
114.58	261.7	90.2
116.05	261.66	90.63
117.52	261.65	90.8
118.99	261.61	91.25
120.46	261.58	91.66
89.55	259.84	95.01
91.02	259.81	95.45
92.49	259.76	96.05
93.96	259.79	95.69
102.78	259.66	97.33
104.24	259.77	95.94
105.71	259.76	96.1
107.18	259.77	95.98
110.13	259.94	93.82
111.6	259.97	93.47
113.08	260.05	92.43
114.56	260.11	91.73
116.04	260.13	91.49
117.51	260.12	91.6
118.98	260.09	91.92
120.46	260.1	91.78
121.93	260.09	91.98
123.4	260.08	92.02
80.68	258.62	92
82.16	258.59	92.42
83.62	258.63	91.95
85.1	258.62	92.07
86.57	258.59	92.39
88.05	258.55	92.94
89.53	258.5	93.55
91	258.5	93.63
92.48	258.44	94.36
93.96	258.39	95
95.43	258.36	95.34
96.9	258.37	95.24
98.37	258.36	95.41
99.84	258.26	96.65
101.31	258.24	96.89
102.78	258.26	96.67
104.24	258.28	96.33
105.71	258.34	95.61
107.18	258.26	96.66
108.65	258.21	97.21
110.11	258.21	97.18
111.59	258.29	96.24
113.06	258.36	95.29
114.53	258.38	95.15
116.01	258.4	94.79
117.49	258.52	93.35
118.97	258.56	92.84
120.44	258.55	92.91
121.91	258.53	93.14
123.35	258.39	94.94
124.82	258.35	95.41
126.24	258.14	97.97
76.22	257.29	90.3
77.69	257.31	90.04
79.17	257.3	90.19
80.65	257.29	90.37
82.13	257.27	90.63
83.61	257.22	91.29
85.09	257.2	91.6
86.57	257.18	91.86
88.04	257.14	92.26
89.52	257.11	92.68
91	257.09	93
92.47	257.06	93.38
93.95	257.01	93.96
95.42	256.99	94.19
96.89	256.94	94.83
98.37	256.92	95.18
99.84	256.9	95.39
101.31	256.89	95.58
102.78	256.87	95.79
104.24	256.85	95.97
105.71	256.85	96.06
107.18	256.85	95.99
108.65	256.86	95.93
110.12	256.85	96.06
111.59	256.81	96.47
113.05	256.79	96.72
114.52	256.82	96.34
116	256.86	95.92
117.47	256.86	95.8
118.95	256.93	94.94
120.42	256.97	94.45
121.9	257.01	93.95
123.36	256.98	94.32
124.82	256.91	95.2
126.27	256.84	96.06
127.72	256.75	97.16
129.15	256.58	99.23
130.56	256.39	101.63
131.97	256.18	104.3
73.22	255.99	88.12
74.72	255.93	88.92
76.2	255.91	89.26
77.68	255.9	89.34
79.16	255.9	89.41
80.64	255.85	90.09
82.13	255.8	90.68
83.61	255.74	91.45
85.09	255.71	91.91
86.57	255.66	92.57
88.05	255.66	92.55
89.52	255.64	92.85
91	255.64	92.83
92.47	255.62	93.14
93.94	255.59	93.44
95.42	255.56	93.83
96.89	255.52	94.35
98.36	255.49	94.76
99.83	255.48	94.94
101.31	255.45	95.3
102.78	255.43	95.6
104.24	255.42	95.65
105.71	255.42	95.69
107.18	255.42	95.67
108.65	255.41	95.78
110.12	255.4	95.9
111.59	255.38	96.17
113.06	255.37	96.29
114.52	255.36	96.39
116	255.39	96.05
117.47	255.41	95.71
118.94	255.43	95.53
120.41	255.45	95.19
121.89	255.48	94.87
123.36	255.5	94.6
124.83	255.5	94.52
126.3	255.48	94.8
127.75	255.39	95.88
129.18	255.27	97.48
130.6	255.09	99.76
132.02	254.92	101.88
133.46	254.83	102.99
134.83	254.55	106.6
70.23	254.64	86.67
71.71	254.64	86.63
73.21	254.59	87.32
74.69	254.56	87.8
76.18	254.5	88.47
77.67	254.46	89.02
79.16	254.42	89.65
80.65	254.37	90.25
82.13	254.31	91.1
83.62	254.25	91.87
85.1	254.21	92.36
86.58	254.16	93.04
88.05	254.16	93.1
89.53	254.14	93.38
91	254.12	93.61
92.47	254.11	93.73
93.95	254.09	94.01
95.42	254.07	94.31
96.89	254.06	94.41
98.36	254.04	94.72
99.83	254.01	95.11
101.31	253.98	95.42
102.78	253.96	95.7
104.24	253.96	95.71
105.71	253.96	95.74
107.18	253.96	95.73
108.65	253.95	95.77
110.12	253.91	96.29
111.59	253.9	96.48
113.05	253.86	96.91
114.52	253.88	96.76
115.99	253.88	96.68
117.46	253.9	96.37
118.93	253.93	96.06
120.41	253.96	95.65
121.88	254	95.15
123.36	254.03	94.74
124.83	254.02	94.81
126.31	254.04	94.48
127.78	254.05	94.38
129.23	254	95.04
130.67	253.88	96.59
132.1	253.75	98.28
133.51	253.54	100.95
134.98	253.56	100.64
136.35	253.3	104.03
67.23	253.29	84.99
68.72	253.26	85.52
70.23	253.19	86.39
71.72	253.13	87.24
73.22	253.07	87.98
74.71	253.03	88.52
76.2	252.97	89.35
77.69	252.92	90.11
79.18	252.87	90.75
80.66	252.81	91.5
82.15	252.76	92.2
83.63	252.73	92.63
85.1	252.71	92.91
86.58	252.68	93.34
88.06	252.65	93.75
89.53	252.63	93.92
91.01	252.6	94.42
92.48	252.57	94.77
93.95	252.54	95.22
95.43	252.53	95.37
96.9	252.52	95.39
98.37	252.52	95.43
99.84	252.49	95.79
101.31	252.48	96.03
102.78	252.46	96.29
104.24	252.46	96.29
105.71	252.44	96.53
107.18	252.43	96.6
108.65	252.42	96.77
110.12	252.41	96.88
111.58	252.39	97.16
113.05	252.39	97.16
114.52	252.37	97.33
115.99	252.4	96.94
117.46	252.42	96.68
118.93	252.43	96.6
120.4	252.44	96.38
121.87	252.47	95.98
123.35	252.51	95.49
124.83	252.54	95.1
126.3	252.57	94.71
127.77	252.57	94.67
